Fri Mar 14 15:18:32 CET 2014, 29,21,42616,19431,1876,1751,1061,954,544,551, Left
Fri Mar 14 15:18:33 CET 2014, 43,27,792450,46398,14071,10938,28386,15687,6803,6034, Left
Fri Mar 14 15:18:34 CET 2014, 38,24,247196,171550,23929,23357,14070,13908,6381,2654, Left
Fri Mar 14 15:18:34 CET 2014, 43,8,636541,327744,4110,15638,18124,21730,15719,13944, Left
Fri Mar 14 15:18:36 CET 2014, 38,1,1328606,487470,30784,23512,70480,13726,17926,17614, Left
Fri Mar 14 15:18:37 CET 2014, 30,4,973301,108971,36524,14806,12079,16664,20432,8831, Left
Fri Mar 14 15:18:38 CET 2014, 38,10,206300,87929,31875,21058,10769,16700,9819,7629, Left
Fri Mar 14 15:18:39 CET 2014, 47,30,181847,10882,5227,1726,501,2338,1360,1228, Left
Fri Mar 14 15:18:40 CET 2014, 54,51,581975,46734,27624,15083,7922,5098,4022,5929, Left
Fri Mar 14 15:18:41 CET 2014, 48,43,393278,48453,2257,5503,3990,3221,3143,2452, Left
Fri Mar 14 15:18:42 CET 2014, 60,48,149152,14332,11378,16386,4047,18331,6825,5849, Left
Fri Mar 14 15:18:43 CET 2014, 53,43,77189,24781,5147,2530,1468,2061,1830,507, Left

Fri Mar 14 15:18:52 CET 2014, 51,27,1291158,56146,56001,26995,9286,18142,19502,9400, Left
Fri Mar 14 15:18:53 CET 2014, 53,34,721298,436725,11306,55666,96940,32577,19731,6294, Left
Fri Mar 14 15:18:54 CET 2014, 43,34,114421,70644,3437,15770,10737,7513,7522,2145, Left
Fri Mar 14 15:18:54 CET 2014, 57,26,770675,31361,1633,5303,6242,9129,7174,2117, Left
Fri Mar 14 15:18:56 CET 2014, 53,21,123257,47184,30739,11586,21728,6442,5964,2403, Left
Fri Mar 14 15:18:57 CET 2014, 38,20,938956,240725,18756,8094,4502,4075,5899,2260, Left
Fri Mar 14 15:18:58 CET 2014, 35,26,292146,43916,9523,19055,6501,4743,1886,2434, Left

Fri Mar 14 15:19:06 CET 2014, 43,30,927357,169829,21206,11768,4947,4622,3284,2892, Left
Fri Mar 14 15:19:07 CET 2014, 54,35,679581,65973,20455,20755,16063,18186,6293,3326, Left
Fri Mar 14 15:19:07 CET 2014, 41,30,539294,186032,30745,20652,14344,22856,8353,7205, Left
Fri Mar 14 15:19:10 CET 2014, 48,37,1376191,10001,5999,2196,2891,3054,2924,2372, Left
Fri Mar 14 15:19:11 CET 2014, 48,63,174718,53212,44427,42950,3687,9839,4158,6457, Left

Fri Mar 14 15:19:17 CET 2014, 38,21,1269311,61702,3641,6859,6340,7834,3096,1497, Right
Fri Mar 14 15:19:18 CET 2014, 41,30,867498,60993,25608,29108,7313,9764,5162,5490, Right
Fri Mar 14 15:19:19 CET 2014, 44,20,612753,334510,37247,25954,5155,12196,13486,11750, Right
Fri Mar 14 15:19:20 CET 2014, 51,29,256036,29366,11983,11023,25344,15983,17438,5334, Right
Fri Mar 14 15:19:21 CET 2014, 44,38,875747,35324,1971,11569,2784,2949,1021,1609, Right

Fri Mar 14 15:19:25 CET 2014, 41,53,188811,89747,29247,25828,28183,10244,4310,5053, Right
Fri Mar 14 15:19:27 CET 2014, 37,47,165455,23140,2993,4466,8785,1276,801,920, Right
Fri Mar 14 15:19:28 CET 2014, 34,54,140828,34709,14645,4959,4852,2638,1243,699, Right

Fri Mar 14 15:19:34 CET 2014, 29,35,142326,52334,15934,17676,9710,6705,4751,2959, Rest
Fri Mar 14 15:19:35 CET 2014, 29,24,838843,51463,10040,13942,5892,7999,1932,2461, Rest
Fri Mar 14 15:19:36 CET 2014, 48,41,95689,62140,19264,26150,8433,12636,3926,5596, Rest
Fri Mar 14 15:19:37 CET 2014, 44,50,367141,66397,13523,20965,8159,4313,1298,2141, Rest
Fri Mar 14 15:19:38 CET 2014, 38,43,638220,58907,12532,6644,11660,3115,1285,2141, Rest
Fri Mar 14 15:19:39 CET 2014, 38,50,486031,76305,46174,16799,12643,15030,6403,10025, Rest
Fri Mar 14 15:19:40 CET 2014, 40,56,3333,15694,24089,16507,7727,7554,5864,5433, Rest
Fri Mar 14 15:19:41 CET 2014, 50,75,54829,8898,60364,2860,6819,8645,5742,2610, Rest

Fri Mar 14 15:19:45 CET 2014, 37,64,1011727,86927,22844,66603,10572,17269,8710,6372, Rest
Fri Mar 14 15:19:46 CET 2014, 40,61,23615,29449,22250,5696,8931,7515,4172,6028, Rest
Fri Mar 14 15:19:47 CET 2014, 34,38,1413649,196693,9625,21728,37370,16247,4669,7399, Rest
Fri Mar 14 15:19:48 CET 2014, 67,48,74752,18255,18451,17866,12047,16362,7660,5142, Rest
Fri Mar 14 15:19:49 CET 2014, 77,47,18884,8801,20742,11855,34397,12152,9600,4394, Rest
Fri Mar 14 15:19:50 CET 2014, 77,54,192029,45279,57711,40826,11167,17491,3146,6692, Rest
Fri Mar 14 15:19:51 CET 2014, 81,75,748184,28892,8843,44099,14136,7766,4495,2838, Rest

