Learning rate, Hidden Neurons, Momentum, Max Error, Training Set(%), Test Set(%), Min Iterations, Max Iterations,Mean Iterations,STD Iterations, Min MSE,Max MSE,Mean MSE,STD MSE,
0.3,10,0.7,0.01,70,30,1434.0,1506.0,1476.0,30.59411708155671,0.00999372,0.00999820,0.00999557,0.00000191,
0.3,10,0.7,0.02,70,30,183.0,195.0,188.0,5.0990195135927845,0.01997270,0.01998840,0.01997794,0.00000740,
0.3,10,0.7,0.03,70,30,58.0,64.0,60.0,2.8284271247461903,0.02968210,0.02991568,0.02976309,0.00010797,
0.6,10,0.7,0.01,70,30,1454.0,1552.0,1510.0,41.331989225457484,0.00944540,0.00999419,0.00980075,0.00025160,
0.6,10,0.7,0.02,70,30,200.0,210.0,205.0,4.123105625617661,0.01991749,0.01998862,0.01995874,0.00003013,
0.6,10,0.7,0.03,70,30,60.0,70.0,63.0,4.546060565661952,0.02987462,0.02997268,0.02991498,0.00004187,
0.3,12,0.7,0.01,70,30,1432.0,1553.0,1482.0,51.581650484127266,0.00999499,0.00999832,0.00999644,0.00000139,
0.3,12,0.7,0.02,70,30,177.0,179.0,178.0,0.816496580927726,0.01998130,0.01999431,0.01998685,0.00000548,
0.3,12,0.7,0.03,70,30,58.0,60.0,59.0,0.816496580927726,0.02970161,0.02982206,0.02974425,0.00005511,
0.6,12,0.7,0.01,70,30,1345.0,1486.0,1438.0,65.7723346096214,0.00989640,0.00998937,0.00995797,0.00004354,
0.6,12,0.7,0.02,70,30,203.0,242.0,222.0,15.92691642053372,0.01997565,0.01999927,0.01998520,0.00001016,
0.6,12,0.7,0.03,70,30,59.0,63.0,61.0,1.632993161855452,0.02989886,0.02995590,0.02992645,0.00002332,
0.3,14,0.7,0.01,70,30,1487.0,1555.0,1524.0,28.160255680657446,0.00999406,0.00999986,0.00999660,0.00000242,
0.3,14,0.7,0.02,70,30,183.0,190.0,186.0,2.943920288775949,0.01997344,0.01998157,0.01997735,0.00000332,
0.3,14,0.7,0.03,70,30,61.0,61.0,61.0,0.0,0.02966052,0.02996213,0.02978927,0.00012702,
0.6,14,0.7,0.01,70,30,1433.0,1472.0,1458.0,17.935068069752806,0.00998893,0.00999793,0.00999392,0.00000374,
0.6,14,0.7,0.02,70,30,196.0,245.0,217.0,20.502032419575706,0.01996342,0.01998211,0.01996999,0.00000858,
0.6,14,0.7,0.03,70,30,59.0,61.0,59.0,1.1547005383792515,0.02987542,0.02999470,0.02992396,0.00005116,
0.3,16,0.7,0.01,70,30,1469.0,1518.0,1500.0,22.435091560618453,0.00999426,0.00999982,0.00999660,0.00000235,
0.3,16,0.7,0.02,70,30,178.0,201.0,188.0,9.539392014169456,0.01997728,0.01999167,0.01998424,0.00000589,
0.3,16,0.7,0.03,70,30,58.0,70.0,63.0,5.0990195135927845,0.02974954,0.02984630,0.02981206,0.00004427,
0.6,16,0.7,0.01,70,30,1419.0,1468.0,1445.0,20.248456731316587,0.00998044,0.00998912,0.00998561,0.00000373,
0.6,16,0.7,0.02,70,30,180.0,233.0,210.0,22.30844384233617,0.01997937,0.01999665,0.01998561,0.00000783,
0.6,16,0.7,0.03,70,30,59.0,62.0,60.0,1.4142135623730951,0.02991814,0.02999596,0.02995484,0.00003192,
0.3,18,0.7,0.01,70,30,1445.0,1522.0,1484.0,31.44307024873154,0.00999522,0.00999824,0.00999667,0.00000123,
0.3,18,0.7,0.02,70,30,185.0,188.0,186.0,1.4142135623730951,0.01997341,0.01999719,0.01998530,0.00000971,
0.3,18,0.7,0.03,70,30,60.0,65.0,63.0,2.160246899469287,0.02966836,0.02998909,0.02981173,0.00013313,
0.6,18,0.7,0.01,70,30,1454.0,1498.0,1469.0,20.51016008388688,0.00996509,0.00997386,0.00996867,0.00000376,
0.6,18,0.7,0.02,70,30,223.0,261.0,237.0,16.69331203406522,0.01997219,0.01999739,0.01998589,0.00001041,
0.6,18,0.7,0.03,70,30,59.0,63.0,61.0,1.7320508075688772,0.02982393,0.02995618,0.02987490,0.00005809,
0.3,20,0.7,0.01,70,30,1425.0,1556.0,1481.0,54.9241901776136,0.00999677,0.00999899,0.00999753,0.00000103,
0.3,20,0.7,0.02,70,30,181.0,190.0,184.0,3.9157800414902435,0.01998458,0.01999282,0.01998894,0.00000338,
0.3,20,0.7,0.03,70,30,62.0,66.0,64.0,2.0,0.02974154,0.02987532,0.02979016,0.00006042,
0.6,20,0.7,0.01,70,30,1456.0,1483.0,1469.0,11.030261405182864,0.00998314,0.00999302,0.00998843,0.00000406,
0.6,20,0.7,0.02,70,30,195.0,223.0,210.0,11.51810169544733,0.01996948,0.01999945,0.01998227,0.00001262,
0.6,20,0.7,0.03,70,30,59.0,62.0,60.0,1.4142135623730951,0.02987136,0.02998388,0.02991799,0.00004791,
